OTUnumber	SAMPLE.271.GP.6.15	SAMPLE.381.MA5.30	SAMPLE.337.GA7.90	SAMPLE.399.MF.II6.30	SAMPLE.393.MP.7.30	SAMPLE.269.GP.5.15	SAMPLE.435.MA8.90	SAMPLE.433.MA7.90	SAMPLE.409.MA7.60	SAMPLE.397.MF.II.5.30	SAMPLE.355.GF.II.8.90	SAMPLE.389.MP.5.30	SAMPLE.415.MP.6.60	SAMPLE.373.MF.II.5.15	SAMPLE.413.MP.5.60	SAMPLE.287.GA6.30	SAMPLE.331.GF.II.8.60	SAMPLE.375.MF.II6.15	SAMPLE.427.MF.II.8.60	SAMPLE.383.MA6.30	SAMPLE.265.GA7.15	SAMPLE.359.MA6.15	SAMPLE.443.MP.8.90	SAMPLE.305.GF.II.7.30	SAMPLE.315.GA8.60	SAMPLE.319.GP.6.60	SAMPLE.349.GF.II.5.90	SAMPLE.371.MP.8.15	SAMPLE.279.GF.II6.15	SAMPLE.407.MA6.60	SAMPLE.431.MA6.90	SAMPLE.451.MF.II.8.90	SAMPLE.281.GF.II.7.15	SAMPLE.303.GF.II6.30	SAMPLE.453.16S.negative	SAMPLE.369.MP.7.15	SAMPLE.439.MP.6.90	SAMPLE.379.MF.II.8.15	SAMPLE.317.GP.5.60	SAMPLE.261.GA5.15	SAMPLE.395.MP.8.30	SAMPLE.387.MA8.30	SAMPLE.339.GA8.90	SAMPLE.385.MA7.30	SAMPLE.325.GF.II.5.60	SAMPLE.351.GF.II6.90	SAMPLE.327.GF.II6.60	SAMPLE.449.MF.II.7.90	SAMPLE.421.MF.II.5.60	SAMPLE.299.GP.8.30	SAMPLE.437.MP.5.90	SAMPLE.307.GF.II.8.30	SAMPLE.277.GF.II.5.15	SAMPLE.401.MF.II.7.30	SAMPLE.357.MA5.15	SAMPLE.417.MP.7.60	SAMPLE.289.GA7.30	SAMPLE.425.MF.II.7.60	SAMPLE.263.GA6.15	SAMPLE.301.GF.II.5.30	SAMPLE.447.MF.II6.90	SAMPLE.429.MA5.90	SAMPLE.273.GP.7.15	SAMPLE.377.MF.II.7.15	SAMPLE.411.MA8.60	SAMPLE.367.MP.6.15	SAMPLE.405.MA5.60	SAMPLE.309.GA5.60	SAMPLE.423.MF.II6.60	SAMPLE.283.GF.II.8.15	SAMPLE.403.MF.II.8.30	SAMPLE.335.GA6.90	SAMPLE.295.GP.6.30	SAMPLE.293.GP.5.30	SAMPLE.329.GF.II.7.60	SAMPLE.347.GP.8.90	SAMPLE.441.MP.7.90	SAMPLE.285.GA5.30	SAMPLE.361.MA7.15	SAMPLE.333.GA5.90	SAMPLE.445.MF.II.5.90	SAMPLE.297.GP.7.30	SAMPLE.321.GP.7.60	SAMPLE.291.GA8.30	SAMPLE.365.MP.5.15	SAMPLE.343.GP.6.90	SAMPLE.341.GP.5.90	SAMPLE.323.GP.8.60	SAMPLE.267.GA8.15	SAMPLE.363.MA8.15	SAMPLE.311.GA6.60	SAMPLE.345.GP.7.90	SAMPLE.391.MP.6.30	SAMPLE.353.GF.II.7.90	SAMPLE.419.MP.8.60	SAMPLE.275.GP.8.15	SAMPLE.313.GA7.60	domain_id	domain_conf	phylum_id	phylum_conf	class_id	class_conf	order_id	order_conf	family_id	family_conf	genus_id	genus_conf
OTU_11	0	248	9	412	205	35	210	359	124	215	3	172	121	180	98	29	17	201	104	148	33	147	99	11	40	8	0	182	20	72	131	206	9	0	0	129	52	49	10	41	172	78	15	399	0	8	14	127	424	25	13	3	0	203	181	222	12	370	7	0	265	171	12	404	195	208	227	16	233	15	271	28	0	31	14	15	163	32	276	17	552	64	87	14	98	6	12	32	19	219	8	43	60	8	109	60	5	Bacteria	100.0	Verrucomicrobia	100.0	Spartobacteria	100.0	Chthoniobacterales	100.0	Xiphinematobacteraceae	99.0	Candidatus_Xiphinematobacter	99.0
OTU_12	0	272	4	10	176	5	312	407	168	7	0	252	53	8	237	7	9	6	27	165	15	182	41	12	15	1	0	61	15	91	118	46	3	0	0	115	31	13	4	8	48	89	8	474	0	3	10	33	8	0	33	1	0	36	203	269	2	95	2	0	15	245	3	46	329	88	356	4	3	8	59	11	0	10	18	1	182	7	330	4	5	9	6	8	182	1	3	12	12	360	6	8	7	7	47	11	2	Archaea	100.0	Thaumarchaeota	100.0	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA
OTU_13	0	5	8	5	11	21	13	17	7	7	117	10	3	7	9	9	1090	3	2	3	34	6	5	650	28	3	6	13	772	2	2	8	269	5	1	4	6	5	2	6	4	4	15	6	2	188	578	9	8	6	0	134	1	15	7	9	18	9	3	0	12	5	0	21	13	11	6	1	5	416	20	14	0	17	631	9	7	10	13	1	15	11	10	14	8	2	16	12	16	4	4	12	4	663	7	7	8	Bacteria	100.0	Acidobacteria	100.0	Acidobacteria	100.0	Subgroup_2	100.0	Subgroup_2_unclassified	100.0	Subgroup_2_unclassified	100.0
OTU_14	0	100	13	7	16	13	81	107	51	6	0	20	9	1	16	32	6	4	6	53	30	55	9	4	35	2	0	43	4	36	57	6	4	0	0	17	7	0	1	155	15	26	23	145	0	3	5	3	7	6	3	1	0	4	86	13	11	10	18	0	5	65	11	13	75	24	94	47	4	2	13	49	0	5	11	6	16	69	120	54	7	18	72	22	18	1	4	17	16	104	6	29	4	1	23	20	4	Bacteria	100.0	Actinobacteria	100.0	Actinobacteria	100.0	Micrococcales	100.0	Micrococcaceae	100.0	Arthrobacter	100.0
OTU_15	0	32	22	3	54	19	35	42	25	8	2	57	152	4	77	37	6	3	9	32	52	18	73	6	116	0	0	112	10	16	19	7	2	1	0	41	74	0	9	64	78	4	65	41	0	2	2	6	7	9	12	0	0	8	31	76	16	11	10	0	5	36	17	20	20	213	46	17	3	3	9	58	0	6	2	17	59	37	55	25	11	45	127	41	49	1	18	41	45	24	15	63	58	3	101	23	18	Archaea	100.0	Thaumarchaeota	100.0	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA
OTU_16	0	66	14	96	70	32	35	62	35	88	1	221	74	53	141	74	13	52	87	38	31	38	44	10	41	10	0	124	6	16	29	143	4	0	0	62	39	54	8	153	87	14	25	100	0	6	6	49	136	16	21	0	0	113	31	76	12	230	26	0	55	45	18	229	58	142	60	33	50	3	262	84	2	34	8	17	50	90	62	52	97	46	66	12	157	10	22	40	25	59	6	36	37	3	49	28	7	Bacteria	100.0	Chloroflexi	100.0	KD4-96	100.0	KD4-96_unclassified	100.0	KD4-96_unclassified	100.0	KD4-96_unclassified	100.0
OTU_17	0	4	18	3	4	6	3	10	6	2	342	1	1	1	4	2	327	0	1	2	51	1	0	7	101	2	0	3	5	1	1	3	69	0	0	4	1	1	1	5	3	1	32	1	0	6	1	4	3	0	0	1	0	6	0	5	5	10	2	0	2	3	1	2	1	1	2	4	2	6	4	4	0	5	88	0	3	6	3	3	10	1	5	4	4	0	6	6	21	5	30	1	0	501	5	9	37	Bacteria	100.0	Proteobacteria	100.0	Gammaproteobacteria	100.0	Pseudomonadales	100.0	Moraxellaceae	100.0	Alkanindiges	98.0
OTU_18	0	135	2	4	46	2	167	236	84	2	0	168	17	1	140	5	10	6	16	85	7	101	15	3	4	0	0	18	4	58	85	23	2	0	0	34	7	5	1	19	13	43	4	221	0	2	1	14	8	1	12	1	0	15	113	66	4	35	0	0	3	134	1	22	147	20	175	9	2	4	20	5	0	3	7	1	48	12	191	8	10	6	1	9	96	0	2	3	4	186	2	0	8	3	17	3	1	Archaea	100.0	Thaumarchaeota	100.0	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA
OTU_19	0	1	8	82	3	101	6	7	3	45	24	11	22	52	3	6	208	43	16	7	30	1	11	447	21	12	3	27	108	2	2	19	192	0	0	14	9	8	35	11	17	2	17	3	0	26	98	17	79	26	0	27	2	62	4	11	10	43	2	0	54	0	10	118	5	34	8	5	35	77	30	16	0	119	399	14	13	7	7	3	101	29	60	18	2	9	58	56	11	5	10	26	19	476	19	40	9	Bacteria	100.0	Acidobacteria	100.0	Acidobacteria	100.0	Subgroup_2	100.0	Subgroup_2_unclassified	100.0	Subgroup_2_unclassified	100.0
OTU_20	0	7	4	88	76	13	18	11	7	44	0	35	97	53	28	17	4	52	26	7	15	10	73	6	10	1	0	181	7	8	6	39	0	0	0	68	60	19	1	30	114	3	11	11	0	2	1	28	82	10	5	0	0	43	5	92	3	72	4	0	62	11	10	104	14	193	5	8	37	3	71	19	0	10	2	7	74	23	22	15	106	21	55	12	19	5	10	18	12	9	3	19	43	0	116	24	6	Bacteria	100.0	Actinobacteria	100.0	Thermoleophilia	100.0	Solirubrobacterales	100.0	480-2	77.0	480-2_unclassified	77.0
OTU_21	0	4	45	6	7	36	5	11	10	2	1	10	11	1	3	40	5	5	0	2	93	0	7	1	123	11	0	18	3	0	2	3	0	0	0	5	4	1	24	59	18	2	54	2	0	0	6	0	1	24	0	2	0	2	2	4	32	6	8	0	1	4	35	0	7	10	5	21	2	0	5	68	0	22	5	56	6	33	10	35	5	87	282	25	2	11	49	106	35	8	29	110	7	2	5	70	27	Archaea	100.0	Thaumarchaeota	100.0	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA
OTU_22	0	2	14	5	4	8	7	6	10	3	65	8	1	2	6	5	549	4	4	2	24	3	2	438	28	4	4	4	617	0	5	1	214	5	0	4	2	0	8	3	4	2	8	10	1	114	498	2	3	2	0	72	1	9	5	8	13	16	2	1	3	3	2	0	9	7	10	4	3	236	7	15	0	15	571	3	9	4	4	0	3	8	10	6	3	2	9	11	8	4	8	6	1	569	6	12	8	Archaea	100.0	Thaumarchaeota	100.0	terrestrial_group	100.0	terrestrial_group_unclassified	100.0	terrestrial_group_unclassified	100.0	terrestrial_group_unclassified	100.0
OTU_23	0	4	7	4	6	60	6	4	3	3	38	6	3	1	3	21	324	2	5	4	60	4	6	262	42	10	1	15	164	2	2	9	110	0	0	5	2	0	19	14	10	4	27	7	0	48	146	3	13	12	2	40	0	4	2	6	24	6	7	0	2	2	6	3	1	20	6	9	4	159	5	13	0	53	338	11	12	10	6	5	9	33	51	27	0	13	22	27	21	4	13	16	5	280	8	26	12	Bacteria	100.0	Acidobacteria	100.0	Acidobacteria	100.0	Acidobacteriales	100.0	Acidobacteriaceae_	NA	Acidobacteriaceae_	NA
OTU_24	0	26	4	83	75	4	14	26	12	67	1	8	60	59	2	7	3	42	31	18	9	18	33	8	11	1	0	71	8	7	19	66	1	0	0	49	16	29	2	25	60	2	3	40	0	5	4	52	86	4	3	0	0	103	22	81	2	115	0	0	63	14	1	179	14	83	20	6	43	3	121	12	0	5	8	1	73	17	21	9	127	4	11	9	8	0	1	10	8	23	6	8	23	6	37	11	1	Bacteria	100.0	Acidobacteria	100.0	Subgroup_22	100.0	Subgroup_22_unclassified	100.0	Subgroup_22_unclassified	100.0	Subgroup_22_unclassified	100.0
OTU_25	1	4	12	15	2	42	7	7	6	14	86	6	13	10	5	12	479	4	4	3	27	4	7	194	28	4	10	28	428	0	2	6	120	3	0	4	4	0	6	16	14	3	14	9	0	181	291	5	25	22	1	67	0	17	4	6	14	19	6	0	9	2	25	24	8	25	5	2	6	270	8	15	1	43	261	28	10	18	3	6	22	48	118	12	3	9	30	51	13	6	1	59	10	348	19	44	6	Bacteria	100.0	Actinobacteria	100.0	Actinobacteria	100.0	Frankiales	100.0	Acidothermaceae	100.0	Acidothermus	100.0
OTU_26	0	48	20	5	22	12	57	46	29	4	0	21	28	4	11	23	6	9	6	25	27	32	38	2	33	0	0	52	5	14	23	16	1	0	0	19	18	3	1	41	32	13	19	52	0	2	3	10	20	1	4	1	0	8	32	31	10	19	7	0	12	33	6	19	34	39	43	16	5	2	11	44	0	11	2	12	34	23	43	19	21	15	35	16	11	2	7	15	19	49	9	15	8	6	58	21	6	Bacteria	100.0	Nitrospirae	100.0	Nitrospira	100.0	Nitrospirales	100.0	Nitrospiraceae	100.0	Nitrospira	100.0
OTU_27	0	2	143	0	4	31	8	5	9	1	1	3	3	1	6	54	4	2	2	3	256	0	4	2	302	5	0	2	3	2	2	2	2	0	0	2	2	0	15	72	4	0	170	8	0	0	5	3	4	10	0	0	0	5	5	7	65	7	21	0	0	2	9	2	11	6	6	33	1	2	5	97	0	21	5	19	8	26	9	34	5	36	112	84	7	3	22	41	103	7	89	45	2	4	2	21	62	Archaea	100.0	Thaumarchaeota	100.0	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA	Soil_Crenarchaeotic_Group	NA
OTU_28	0	5	20	57	43	22	7	4	0	22	0	9	14	19	5	20	6	33	7	3	50	3	9	3	61	9	0	22	6	1	2	11	3	1	0	19	10	3	7	37	18	2	40	3	0	2	4	20	28	21	2	0	0	30	3	31	27	41	2	0	27	1	13	58	6	37	1	12	27	1	22	21	0	29	4	20	32	21	7	16	48	55	92	41	11	6	21	67	21	5	19	32	9	1	14	58	17	Bacteria	100.0	Proteobacteria	100.0	Betaproteobacteria	99.0	Betaproteobacteria_unclassified	99.0	Betaproteobacteria_unclassified	99.0	Betaproteobacteria_unclassified	99.0
OTU_29	1	26	26	62	58	16	28	38	24	16	4	38	30	21	16	29	33	46	36	25	66	21	23	17	25	1	0	42	44	11	15	28	17	0	0	26	15	22	8	48	36	6	27	32	0	12	20	25	54	5	3	5	0	44	19	57	22	64	10	0	57	12	4	108	34	66	28	18	26	18	57	26	0	19	28	5	50	24	44	13	38	13	11	26	18	3	12	6	18	24	11	11	20	26	20	10	17	Bacteria	100.0	Proteobacteria	100.0	Alphaproteobacteria	100.0	Rhizobiales	100.0	Xanthobacteraceae	96.0	Pseudolabrys	96.0
OTU_30	0	37	2	43	160	1	42	67	28	19	1	28	45	18	15	6	5	28	16	35	5	27	44	3	6	0	0	109	3	18	20	31	0	0	0	98	18	14	0	14	70	16	1	88	0	0	9	14	41	0	3	1	0	47	32	149	3	62	0	0	22	33	0	77	56	90	42	2	19	3	50	3	0	1	4	1	103	1	69	1	30	6	0	4	21	0	2	3	0	53	1	0	27	5	53	3	1	Bacteria	100.0	Actinobacteria	100.0	MB-A2-108	100.0	MB-A2-108_unclassified	100.0	MB-A2-108_unclassified	100.0	MB-A2-108_unclassified	100.0
OTU_31	0	17	9	59	44	21	27	21	9	43	0	11	31	23	5	15	7	41	14	14	14	15	36	4	17	2	0	77	4	9	12	14	2	0	0	31	19	8	2	32	67	10	15	27	0	2	4	13	48	11	0	0	0	26	14	52	7	48	6	0	33	11	9	58	19	56	18	11	27	2	46	17	0	17	5	14	30	20	34	8	51	33	36	19	1	3	11	24	14	30	7	13	18	1	45	30	4	Bacteria	100.0	Nitrospirae	100.0	Nitrospira	100.0	Nitrospirales	100.0	0319-6A21	100.0	0319-6A21_unclassified	100.0
OTU_32	0	2	10	3	3	5	1	3	0	0	25	6	0	2	1	6	146	4	1	1	18	0	2	267	27	1	0	2	156	1	0	2	75	1	0	0	0	2	2	3	1	0	11	4	0	44	124	1	5	0	0	18	0	1	1	1	9	3	0	0	2	1	0	1	3	2	3	1	1	48	4	7	0	6	220	2	4	2	2	2	4	2	3	20	3	1	4	3	15	2	3	4	0	286	3	6	5	Bacteria	100.0	Bacteria_unclassified	100.0	Bacteria_unclassified	100.0	Bacteria_unclassified	100.0	Bacteria_unclassified	100.0	Bacteria_unclassified	100.0
OTU_33	0	77	0	23	14	4	48	95	41	8	1	22	17	7	25	7	5	14	8	36	7	48	6	4	7	0	0	28	3	23	42	9	1	0	0	17	3	5	2	84	31	22	6	158	0	0	1	5	17	1	1	0	0	7	65	12	4	11	5	0	11	26	1	15	57	32	53	12	11	3	19	15	0	4	1	0	14	41	159	22	12	4	4	3	21	0	2	7	4	91	2	1	12	3	13	3	1	Bacteria	100.0	Acidobacteria	100.0	Acidobacteria	100.0	Subgroup_4	100.0	Unknown_Family	100.0	Blastocatella	100.0
OTU_34	1	6	30	6	7	65	5	5	4	9	24	3	12	10	1	10	204	1	5	1	49	2	4	220	66	8	7	4	245	1	3	5	77	4	0	2	5	2	14	12	5	0	40	3	1	76	188	8	15	16	1	28	4	16	4	8	32	21	1	0	3	0	6	30	8	15	2	2	3	58	8	17	0	70	226	17	7	7	3	4	21	25	43	28	1	10	41	29	20	2	26	17	5	255	6	21	12	Bacteria	100.0	Acidobacteria	100.0	Acidobacteria	100.0	Subgroup_2	100.0	Subgroup_2_unclassified	100.0	Subgroup_2_unclassified	100.0
OTU_35	0	41	4	42	49	21	32	35	36	17	0	68	61	17	47	14	4	26	10	32	11	25	30	4	12	1	0	66	4	13	19	21	2	0	0	39	21	8	3	42	59	8	5	71	0	2	1	18	34	9	8	0	0	39	41	61	6	54	6	1	21	32	4	61	43	88	44	9	18	6	31	19	0	16	3	6	42	24	48	12	21	20	20	2	38	7	10	17	5	43	6	18	21	2	46	21	2	Bacteria	100.0	Proteobacteria	100.0	Alphaproteobacteria	100.0	Rhizobiales	100.0	Hyphomicrobiaceae	100.0	Pedomicrobium	100.0
OTU_36	0	3	15	133	19	21	3	5	2	100	3	7	18	83	3	20	10	66	48	2	44	2	4	12	35	3	0	29	6	2	2	85	5	1	0	6	7	35	8	10	15	1	11	4	0	4	4	46	163	16	0	0	0	147	4	15	27	103	4	0	54	6	12	258	8	38	6	7	38	7	186	23	0	20	22	14	15	4	11	5	199	23	48	31	3	3	19	35	23	4	9	25	10	17	10	31	11	Bacteria	100.0	Bacteroidetes	100.0	Sphingobacteriia	100.0	Sphingobacteriales	100.0	Chitinophagaceae	100.0	Chitinophagaceae_unclassified	100.0
OTU_37	0	52	4	2	46	5	79	87	42	8	1	152	8	11	87	3	4	2	9	31	8	47	7	3	8	1	0	13	4	35	29	7	2	0	0	35	2	2	2	12	10	25	3	132	0	0	3	4	11	5	13	0	0	6	47	57	9	11	1	0	3	45	3	11	77	7	57	3	1	1	6	6	0	1	2	1	38	5	94	2	17	4	4	4	105	0	1	5	2	68	0	3	2	5	9	6	2	Bacteria	100.0	Actinobacteria	100.0	Thermoleophilia	100.0	Gaiellales	99.0	Gaiellales_unclassified	99.0	Gaiellales_unclassified	99.0
